timestamp,thrust,z,torque_x,torque_y,torque_z,roll,pitch,yaw,p,q,r,vx,vy,vz,mass,inertia_xx,inertia_yy,inertia_zz,trajectory_id
0.89,1.3202749490737915,-2.188077926635742,4.785751116287429e-06,-3.567447720342898e-06,5.640362815029221e-06,0.08351254463195801,-0.04335375502705574,0.04063307121396065,0.09115878492593765,-0.04396902769804001,0.04675592854619026,0.0,0.0,-6.156097412109375,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.9,1.3201221227645874,-2.239495277404785,4.72328474643291e-06,-3.5308812584844418e-06,5.605440492217895e-06,0.0842592716217041,-0.04375224560499191,0.04099049046635628,0.09041758626699448,-0.043573345988988876,0.046400267630815506,0.0,0.0,-6.232388019561768,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.91,1.3199716806411743,-2.2912988662719727,4.665374490286922e-06,-3.494983957352815e-06,5.57082648811047e-06,0.08499903976917267,-0.044147126376628876,0.04134465754032135,0.0896834060549736,-0.04318130388855934,0.04604785516858101,0.0,0.0,-6.3082051277160645,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.92,1.31982421875,-2.3434858322143555,4.611964413925307e-06,-3.4597469493746758e-06,5.536511707759928e-06,0.08573193848133087,-0.04453844577074051,0.04169563949108124,0.08895612508058548,-0.042792852967977524,0.04569865018129349,0.0,0.0,-6.383553981781006,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.93,1.3196799755096436,-2.396055221557617,4.563110906019574e-06,-3.425182740102173e-06,5.5024402172421105e-06,0.08645807951688766,-0.0449262335896492,0.042043477296829224,0.08823562413454056,-0.04240794852375984,0.045352596789598465,0.0,0.0,-6.458439350128174,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.9400000000000001,1.3195390701293945,-2.4490089416503906,4.518869445746532e-06,-3.3912888284248766e-06,5.468546987685841e-06,0.0871775671839714,-0.04531056433916092,0.04238823801279068,0.08752177655696869,-0.04202651605010033,0.04500962421298027,0.0,0.0,-6.532872200012207,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.9500000000000001,1.3194024562835693,-2.502351760864258,4.478903520066524e-06,-3.3580540730326902e-06,5.434847935248399e-06,0.08789052814245224,-0.045691490173339844,0.042729977518320084,0.08681444823741913,-0.0416484996676445,0.044669680297374725,0.0,0.0,-6.606862545013428,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.96,1.3192698955535889,-2.556086540222168,4.443577836354962e-06,-3.325490979477763e-06,5.40127848580596e-06,0.08859708160161972,-0.04606906697154045,0.043068766593933105,0.08611349016427994,-0.04127383604645729,0.04433268681168556,0.0,0.0,-6.680425643920898,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.97,1.3191418647766113,-2.610218048095703,4.41238717030501e-06,-3.2935663512034807e-06,5.367863195715472e-06,0.08929739147424698,-0.04644337669014931,0.043404676020145416,0.08541874587535858,-0.04090243577957153,0.04399857670068741,0.0,0.0,-6.753574848175049,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.98,1.3190186023712158,-2.664759635925293,4.385499323689146e-06,-3.262294512751396e-06,5.334528395906091e-06,0.08999159932136536,-0.04681449383497238,0.043737784028053284,0.08473006635904312,-0.04053421691060066,0.0436672680079937,0.0,0.0,-6.826327800750732,0.068,6.86e-05,9.2e-05,0.0001366,0.0
0.99,1.3189005851745605,-2.7197160720825195,4.362717390904436e-06,-3.2316700071532978e-06,5.301250894262921e-06,0.09067986905574799,-0.04718250036239624,0.044068168848752975,0.08404726535081863,-0.04016910865902901,0.04333868995308876,0.0,0.0,-6.898705959320068,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.0,1.318787932395935,-2.7751007080078125,4.343845375842648e-06,-3.201667368557537e-06,5.26807025380549e-06,0.0913623794913292,-0.047547485679388046,0.04439592361450195,0.0833701491355896,-0.03980701044201851,0.043012745678424835,0.0,0.0,-6.970731735229492,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.01,1.3186806440353394,-2.8309268951416016,4.328911018092185e-06,-3.1722856874694116e-06,5.234897798800375e-06,0.0920393243432045,-0.04790954291820526,0.04472113028168678,0.0826985314488411,-0.03944782540202141,0.04268934577703476,0.0,0.0,-7.042428970336914,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.02,1.3185795545578003,-2.887209892272949,4.317548246035585e-06,-3.1435058645001845e-06,5.201774001761805e-06,0.09271088987588882,-0.04826878756284714,0.04504390060901642,0.08203219622373581,-0.03909144550561905,0.042368389666080475,0.0,0.0,-7.113824367523193,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.03,1.3184844255447388,-2.9439687728881836,4.309729320084443e-06,-3.1152969768299954e-06,5.168666575627867e-06,0.09337730705738068,-0.04862530529499054,0.04536433145403862,0.08137092739343643,-0.03873775154352188,0.04204976558685303,0.0,0.0,-7.184947490692139,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.04,1.318395733833313,-3.001223564147949,4.30545424023876e-06,-3.0876735763740726e-06,5.135591436555842e-06,0.09403880685567856,-0.04897923767566681,0.045682527124881744,0.08071448653936386,-0.038386642932891846,0.041733380407094955,0.0,0.0,-7.2558274269104,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.05,1.318313479423523,-3.0589962005615234,4.303935384086799e-06,-3.060586777792196e-06,5.10245126861264e-06,0.09469559788703918,-0.0493306927382946,0.04599861055612564,0.08006265759468079,-0.0380379892885685,0.04141910746693611,0.0,0.0,-7.326498985290527,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.06,1.3182380199432373,-3.117312431335449,4.305876245780382e-06,-3.0340368084580405e-06,5.069270628155209e-06,0.09534794837236404,-0.04967980459332466,0.04631270468235016,0.07941514253616333,-0.03769165277481079,0.041106823831796646,0.0,0.0,-7.39699649810791,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.07,1.3181697130203247,-3.1761999130249023,4.310207714297576e-06,-3.008008434335352e-06,5.0360499699309e-06,0.09599614143371582,-0.05002670735120773,0.046624936163425446,0.0787716954946518,-0.03734749183058739,0.04079641401767731,0.0,0.0,-7.4673590660095215,0.068,6.86e-05,9.2e-05,0.0001366,0.0
1.08,1.318108320236206,-3.2356882095336914,4.317491857364075e-06,-2.9824670946254628e-06,5.0028370424115565e-06,0.0966404378414154,-0.05037156119942665,0.04693544656038284,0.0781320333480835,-0.03700537234544754,0.04048772156238556,0.0,0.0,-7.537625312805176,0.068,6.86e-05,9.2e-05,0.0001366,0.0
